Start time,End time,High frequency (Hz),Low frequency (Hz),GOES,Flare,"Notes (corona loop brightening, etc.)",Other notes
2023-4-15/13:03,2023-4-15/13:20,6000000,400000,T,T,Spot,
2023-4-16/11:10,2023-4-16/12:30,20000000,80000,T,T,Loop,
2023-4-18/15:21,2023-4-18/15:44,20000000,100000,T,F,,
2023-4-18/18:07,2023-4-18/18:57,7000000,100000,T,T,Spot,
2023-4-19/20:20,2023-4-19/21:17,20000000,50000,T,T,Loop,
2023-4-19/23:45,2023-4-19/23:57,14000000,400000,T,T,Loop & Spot,
2023-4-20/06:55,2023-4-20/08:00,20000000,80000,T,T,Spot,
2023-4-20/12:17,2023-4-20/12:29,10000000,300000,T,T,Spot,
2023-4-20/14:15,2023-4-20/14:27,14000000,200000,T,F,,
2023-4-21/03:28,2023-4-21/04:12,20000000,70000,F,,,
2023-4-21/17:57,2023-4-21/19:37,11000000,80000,T,T,Spot,
2023-4-22/00:52,2023-4-22/02:00,5000000,80000,T,T,Spot,
2023-4-22/01:38,2023-4-22/01:58,15000000,300000,T,T,Spot,
2023-4-22/07:50,2023-4-22/08:41,12000000,80000,T,F,,
2023-4-24/01:33,2023-4-24/02:55,20000000,50000,F,,,
2023-4-28/23:29,2023-4-28/23:31,20000000,200000,T,F,,
2023-4-29/22:56,2023-4-29/23:13,20000000,200000,T,T,Spot,
2023-4-30/02:09,2023-4-30/02:36,20000000,200000,T,T,Spot,
2023-4-30/13:03,2023-4-30/13:52,20000000,60000,T,F,,
2023-5-1/09:41,2023-5-1/10:07,4000000,100000,T,F,,
2023-5-1/13:06,2023-5-1/13:23,6000000,200000,T,T,Loop & Spot,
2023-5-1/13:44,2023-5-1/13:51,20000000,80000,T,T,Spot,
2023-5-2/04:29,2023-5-2/07:36,10000000,30000,T,T,Spot,
2023-5-3/07:25,2023-5-3/08:25,20000000,80000,T,T,Spot,
2023-5-4/21:34,2023-5-4/21:56,12000000,300000,T,F,,
2023-5-5/23:07,2023-5-5/23:22,20000000,200000,T,T,Spot,
2023-5-6/00:37,2023-5-6/01:45,20000000,80000,T,F,,
2023-5-8/10:57,2023-5-8/11:16,20000000,80000,T,T,Spot,
2023-5-8/18:30,2023-5-8/20:21,20000000,80000,T,T,Spot,
2023-5-11/01:02,2023-5-11/02:57,20000000,90000,T,T,Spot,
2023-5-11/08:50,2023-5-11/09:30,20000000,1000000,T,T,Spot,
2023-5-11/18:23,2023-5-11/19:04,11000000,1000000,T,T,Spot,
2023-5-12/11:34,2023-5-12/12:57,20000000,40000,T,T,Spot,
2023-5-16/13:35,2023-5-16/14:25,20000000,80000,T,F,,
2023-5-16/17:17,2023-5-16/20:15,20000000,40000,F,,,
2023-5-17/01:58,2023-5-17/02:36,9000000,300000,T,F,,
2023-5-17/15:08,2023-5-17/16:07,20000000,100000,F,,,
