Start time,End time,High frequency (Hz),Low frequency (Hz),GOES,Flare,"Notes (corona loop brightening, etc.)",Other notes
2023-2-27/15:57,2023-2-27/16:17,4000000,300000,F,,,
2023-2-27/16:25,2023-2-27/17:03,4000000,300000,T,F,,
2023-2-27/19:49,2023-2-27/20:33,20000000,100000,F,,,
2023-2-27/21:59,2023-2-27/23:36,20000000,700000,T,T,Loop,
2023-2-28/03:35,2023-2-28/04:40,10000000,80000,T,F,,
2023-2-28/04:47,2023-2-28/05:54,20000000,70000,T,F,,
2023-2-28/06:37,2023-2-28/07:48,20000000,60000,T,T,Spot,
2023-2-28/15:39,2023-2-28/17:06,20000000,70000,F,,,
2023-2-28/18:30,2023-2-28/19:42,20000000,70000,F,,,
2023-2-28/21:54,2023-2-28/22:35,20000000,90000,F,,,
2023-3-1/02:42,2023-3-1/05:25,20000000,50000,F,,,
2023-3-1/08:12,2023-3-1/09:50,7000000,60000,F,,,
2023-3-1/11:51,2023-3-1/14:25,10000000,50000,T,F,,
2023-3-1/18:51,2023-3-1/19:27,8000000,100000,T,T,Loop,
2023-3-1/21:57,2023-3-1/23:57,10000000,50000,F,,,
2023-3-2/03:45,2023-3-2/06:22,20000000,50000,T,F,,
2023-3-2/06:06,2023-3-2/06:22,10000000,1000000,F,,,
2023-3-2/09:57,2023-3-2/11:23,6000000,70000,F,,,
2023-3-2/13:19,2023-3-2/15:31,20000000,50000,F,,,
2023-3-2/18:50,2023-3-2/20:05,14000000,60000,F,,,
2023-3-2/20:20,2023-3-2/21:13,20000000,70000,F,,,
2023-3-2/21:19,2023-3-2/22:10,20000000,1000000,T,T,Spot,
2023-3-3/00:00,2023-3-3/01:17,600000,70000,T,F,,
2023-3-3/01:45,2023-3-3/03:07,13000000,50000,F,,,
2023-3-3/03:48,2023-3-3/05:05,20000000,50000,F,,,
2023-3-3/05:46,2023-3-3/07:02,10000000,50000,F,,,
2023-3-3/07:15,2023-3-3/08:35,6000000,50000,F,,,
2023-3-3/09:08,2023-3-3/10:22,5000000,50000,F,,,
2023-3-3/11:00,2023-3-3/12:07,6000000,50000,F,,,
2023-3-3/13:52,2023-3-3/15:00,8000000,50000,F,,,
2023-3-3/14:20,2023-3-3/15:54,5000000,50000,F,,,
2023-3-3/16:09,2023-3-3/17:14,20000000,50000,F,,,
2023-3-3/17:01,2023-3-3/18:28,17000000,50000,F,,,
2023-3-3/18:38,2023-3-3/20:50,10000000,40000,F,,,
2023-3-4/05:30,2023-3-4/06:27,8000000,60000,F,,,
